%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status_list0.goal_id.stamp,field.status_list0.goal_id.id,field.status_list0.status,field.status_list0.text
1780307347822300522,4725,1780307347821714208,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307348022089217,4726,1780307348021555300,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307348222014894,4727,1780307348221609677,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307348421825933,4728,1780307348421535823,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307348626415663,4729,1780307348625238399,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307348821939427,4730,1780307348821551034,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307349021987503,4731,1780307349021602130,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307349221842918,4732,1780307349221539057,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307349421831513,4733,1780307349421538850,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307349621841150,4734,1780307349621543748,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307349822045947,4735,1780307349821559531,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307350021893914,4736,1780307350021555522,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307350221930687,4737,1780307350221621097,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307350421987668,4738,1780307350421575889,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307350621885897,4739,1780307350621542713,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307350821825376,4740,1780307350821543027,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307351022025017,4741,1780307351021600894,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307351221854286,4742,1780307351221547717,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307351422342943,4743,1780307351421606209,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307351621920227,4744,1780307351621636524,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307351821886374,4745,1780307351821542252,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307352021914240,4746,1780307352021553608,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307352222901241,4747,1780307352222561130,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307352422083569,4748,1780307352421554288,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307352621864816,4749,1780307352621554550,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307352821854453,4750,1780307352821549238,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307353021986488,4751,1780307353021579449,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307353223011042,4752,1780307353221576481,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307353421886385,4753,1780307353421545440,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307353621966127,4754,1780307353621568515,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307353821883158,4755,1780307353821558464,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307354021859930,4756,1780307354021548726,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307354222115614,4757,1780307354221587999,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307354422138272,4758,1780307354421547739,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307354621881445,4759,1780307354621549563,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307354821912124,4760,1780307354821539773,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307355021880146,4761,1780307355021601077,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307355222155621,4762,1780307355221853271,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307355422241302,4763,1780307355421550767,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307355621831972,4764,1780307355621538632,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307355821864422,4765,1780307355821570561,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307356022212711,4766,1780307356021601188,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307356221832653,4767,1780307356221585408,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307356425949925,4768,1780307356421553221,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307356621950314,4769,1780307356621573796,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307356822110319,4770,1780307356821656247,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307357021817971,4771,1780307357021536194,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307357221831931,4772,1780307357221538279,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307357422794660,4773,1780307357421556718,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307357621882872,4774,1780307357621530990,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307357821867977,4775,1780307357821553075,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307358021850530,4776,1780307358021523753,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307358221852719,4777,1780307358221545265,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307358421861731,4778,1780307358421551881,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307358622037413,4779,1780307358621550632,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307358823504580,4780,1780307358822034654,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307359022428778,4781,1780307359021541989,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307359221967520,4782,1780307359221579231,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307359421949917,4783,1780307359421554492,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307359621783977,4784,1780307359621498190,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307359821939086,4785,1780307359821553609,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307360021841689,4786,1780307360021548923,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307360221906275,4787,1780307360221551893,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307360421910652,4788,1780307360421560228,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307360621951019,4789,1780307360621539083,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307360821863518,4790,1780307360821547991,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307361021784820,4791,1780307361021533461,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307361221820239,4792,1780307361221536483,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307361421867533,4793,1780307361421563412,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307361622036183,4794,1780307361621563361,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307361821950506,4795,1780307361821543831,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
