%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1780307499791976569,0.41560670199,-0.0367507973382,0.0,0.0,0.0,1.2
1780307499970843954,0.349982539281,-0.169307717373,0.0,0.0,0.0,1.2
1780307500178409005,0.254580067579,-0.282625980169,0.0,0.0,0.0,1.2
1780307500363814699,0.120283979829,-0.361077248165,0.0,0.0,0.0,1.2
1780307500561836171,-0.0719073856542,-0.513460672941,0.0,0.0,0.0,0.995644334166
1780307500754251487,-0.2,-0.300813581484,0.0,0.0,0.0,0.281973777895
1780307500973551516,-0.2,0.0336913683926,0.0,0.0,0.0,-0.0966175560571
1780307501175174363,-0.187652350807,0.105040282358,0.0,0.0,0.0,-0.378785405435
1780307501372798118,-0.141509066842,0.120109077921,0.0,0.0,0.0,-0.544308727842
1780307501560482244,-0.115237299101,0.222746777397,0.0,0.0,0.0,-0.549006554436
1780307501767663381,-0.0884704650228,0.247768966575,0.0,0.0,0.0,-0.462641247161
1780307501954621607,-0.0414040288062,0.244798442138,0.0,0.0,0.0,-0.408022984971
1780307502157369112,0.016995794915,0.247170064915,0.0,0.0,0.0,-0.298519749432
1780307502352794437,0.0289705566462,0.398580898006,0.0,0.0,0.0,-0.0815531512553
1780307502552548079,0.0643211950662,0.192745056284,0.0,0.0,0.0,0.0790947228694
1780307502747129272,0.0,0.0,0.0,0.0,0.0,0.0
1780307502952417715,0.0,0.0,0.0,0.0,0.0,0.0
1780307503147818039,0.0,0.0,0.0,0.0,0.0,0.0
1780307503355779973,0.0,0.0,0.0,0.0,0.0,0.0
1780307503550524868,0.0,0.0,0.0,0.0,0.0,0.0
1780307503750685706,0.0681065589079,-0.215638169511,0.0,0.0,0.0,0.434084502341
1780307503950671175,0.063280584225,-0.202291773587,0.0,0.0,0.0,0.423580256162
1780307504151842711,0.0614553949831,-0.22750865982,0.0,0.0,0.0,0.473593555572
1780307504350208669,0.113429817981,-0.297076530746,0.0,0.0,0.0,0.547323979192
1780307509563634185,0.0,0.0,0.0,0.0,0.0,0.0
1780307513370802430,-0.2,-0.448102897524,0.0,0.0,0.0,-0.169343851013
1780307513609844943,-0.139463487757,-0.615522809643,0.0,0.0,0.0,-0.126686892426
1780307513842485973,-0.0916330009452,-0.667281143641,0.0,0.0,0.0,-0.176427386784
1780307513844357573,0.0,0.0,0.0,0.0,0.0,0.0
1780307513978596811,0.0,0.0,0.0,0.0,0.0,0.0
1780307514183077112,0.0,0.0,0.0,0.0,0.0,0.0
1780307514372640078,0.0,0.0,0.0,0.0,0.0,0.0
1780307514573140246,0.0,0.0,0.0,0.0,0.0,0.0
1780307514773791042,0.0,0.0,0.0,0.0,0.0,0.0
1780307514976100101,0.0,0.0,0.0,0.0,0.0,0.0
1780307515622032392,0.0,0.0,0.0,0.0,0.0,0.0
1780307515823213043,0.0,0.0,0.0,0.0,0.0,0.0
1780307516031475972,0.0,0.0,0.0,0.0,0.0,0.0
1780307516489476164,0.0,0.0,0.0,0.0,0.0,0.0
1780307516782767332,0.0,0.0,0.0,0.0,0.0,0.0
1780307517033327163,-0.0707877604618,-0.599328878395,0.0,0.0,0.0,-0.0708564191979
1780307517156300234,0.0,0.0,0.0,0.0,0.0,0.0
1780307517410761394,0.0213995843118,-0.478115537355,0.0,0.0,0.0,0.383806766741
1780307517606630947,0.0851679859676,-0.644566096458,0.0,0.0,0.0,0.633766997177
1780307517625569613,0.0,0.0,0.0,0.0,0.0,0.0
1780307517824653450,0.0,0.0,0.0,0.0,0.0,0.0
1780307518024346154,0.0,0.0,0.0,0.0,0.0,0.0
1780307518224627411,0.0,0.0,0.0,0.0,0.0,0.0
